"","controlPerc","treatPerc","controlCount","treatCount","countDiff","midCount","binom.p.value","chi.p.value","preference","controlAct","treatAct","speedP","controlD","treatD","controlTA","controlTF45","controlTF90","treatTA","treatTF45","treatTF90","crosses","explorer","expNum"
"1",15.5688622754491,82.6347305389222,26,138,112,3,3.31179527350421e-18,2.21577075123491e-18,TRUE,2.66680769230769,2.63252173913043,0.587357503490961,69.337,363.288,175.53640402652,16,14,202.58195603242,115,97,2,FALSE,1
"2",28.6926994906621,69.7792869269949,169,411,242,9,3.35618706163114e-22,9.32734696953829e-24,TRUE,11.2180710059172,9.38452068126521,7.99579009749354e-05,1895.854,3857.038,166.352300314594,151,115,194.485578605847,376,305,77,TRUE,4
"3",17.6174496644295,79.3624161073825,105,473,368,18,2.52375797705855e-49,6.88889144514895e-53,TRUE,11.8377428571429,6.3693932346723,9.54176693883123e-22,1242.963,3012.723,200.584716321036,80,70,212.276006978907,416,365,92,TRUE,5
"4",56.25,36.8421052631579,342,224,-118,42,8.86823513545492e-11,7.05258647786337e-07,TRUE,6.6334269005848,6.00783928571429,1.85248111195053e-09,2268.632,1345.756,194.959287820182,291,251,173.504329955128,182,139,50,TRUE,6
"5",13,83.6666666666667,78,502,424,20,2.61702154002778e-66,2.2296613104137e-69,TRUE,7.05562820512821,5.58098007968128,1.03825497274261e-05,550.339,2801.652,190.125805927323,61,49,170.108437494616,347,299,45,TRUE,7
"6",43.6332767402377,46.3497453310696,257,273,16,59,0.0834395029207301,0.487058066254832,FALSE,6.11994941634241,6.14588644688645,0.912590028820244,1572.827,1677.827,170.011704649068,211,167,165.454771623124,213,172,91,TRUE,9
"7",51.0971786833856,48.7460815047022,326,311,-15,1,0.55264234583864,0.552297008395854,FALSE,3.23268098159509,3.31595819935691,1.27427423165094e-05,1053.854,1031.263,168.492059177424,285,228,189.882415821765,283,248,12,TRUE,10
"8",51.7587939698493,41.3735343383585,309,247,-62,41,2.86100487438733e-05,0.00855392863516086,TRUE,7.4068996763754,7.03279352226721,0.0333789354456632,2288.732,1737.1,196.833945860683,247,204,158.770996560354,192,126,70,TRUE,11
"9",38.4976525821596,46.79186228482,246,299,53,94,0.113493057881304,0.0231911718179796,FALSE,7.21575203252033,7.63273578595318,0.00811452153910983,1775.075,2282.188,170.914231011016,195,149,185.533265329659,247,196,124,TRUE,12
